S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,SCHOOL ADDRESS,PINCODE
8739,KRISHNAGIRI,Shoolagiri,PUMS BEERPALLI,"PUMS BEERPALLI, BEERPALLI POST\VILLAGE
,SHOOLAGIRI UNION,KRISHNAGIRI.",635115
8740,KRISHNAGIRI,Shoolagiri,PUMS CHAPPADI,Chappadi (Vil &Po) Shoolagiri(TK)635117,635117
8741,KRISHNAGIRI,Shoolagiri,PUMS CHEMBARASANAPALLI -TEL,P U M SCHOOL CHEMBARASANAPALLI POSTSHOOLAGIRI TAK,635117
8742,KRISHNAGIRI,Shoolagiri,PUMS CHENNAPALLI,chennapalli postshoolagiri taluk,635117
8743,KRISHNAGIRI,Shoolagiri,PUMS CHIMPALTHIRADI,CHIMPLETHIRADISHOOLAGIRI,635117
8744,KRISHNAGIRI,Shoolagiri,PUMS D.KOTHAPALLI,"PUMS D.KOTHAPALLI, PODICHIPALLI POST - 635 113",635113
8745,KRISHNAGIRI,Shoolagiri,PUMS DORIPALLI -TEL,"PUMS DORIPALLI , DORIPALLI VILL& POST SHOOLAGIRI TK & BLOCK",635130
8746,KRISHNAGIRI,Shoolagiri,PUMS GEJJALANDODDI -TEL,GedalandoddiGedalandoddi,635105
8747,KRISHNAGIRI,Shoolagiri,PUMS GUDISADANAPALLI,"PUMS GDISADHANAPALLI POSHOOLAGIRI TK,",635105
8748,KRISHNAGIRI,Shoolagiri,PUMS HANUMANTHAPURAM,AGARAM POST\HANUMANTHAPURAM,635119
8749,KRISHNAGIRI,Shoolagiri,PUMS HOSAHALLI,PUM SCHOOL\HOSAHALLI  ENUSONAOI POST,635117
8750,KRISHNAGIRI,Shoolagiri,PUMS KADATHUR,PUMS KadathurKumbalam Post,635117
8751,KRISHNAGIRI,Shoolagiri,PUMS KADHIREPALLI,"PUMS,KATHIREPALLI,PERANDAPALLI(P.O),HOSUR - 635130",635109
8752,KRISHNAGIRI,Shoolagiri,PUMS KANALATTI,DORIPALLI- POSTSHOOLAGIRI-TALUK,635130
8753,KRISHNAGIRI,Shoolagiri,PUMS KATTIGANAPALLI,KATTIGANAPALLICHEMPARASANAPALLI-PO,635117
8754,KRISHNAGIRI,Shoolagiri,PUMS KOTHUR,KOTHURShoolagiri Tk,635109
8755,KRISHNAGIRI,Shoolagiri,PUMS KOTTANGARAI,"Kottangarai,  Shoolagiri",635117
S NO,DISTRICT,BLOCK NAME,SCHOOL NAME,"SCHOOL ADDRESS
PUMS",PINCODE
8756,KRISHNAGIRI,Shoolagiri,PUMS KOTTAYUR,"KOTTAYUR,PEDDASIGARALAPALLI(PO)\SHOOLAGIRI TALUK.KRISHNAGIRI DISTRICT.",635117
8757,KRISHNAGIRI,Shoolagiri,PUMS KUMBALAM -TEL,kumbalamkumbalam,635117
8758,KRISHNAGIRI,Shoolagiri,PUMS MADHARASANAPALLI,PUMS MADHASANAPALLIENUSONAI  POST,645117
8759,KRISHNAGIRI,Shoolagiri,PUMS MARANDAPALLI,Panchayat Union Middle School\Marandapalli,635117
8760,KRISHNAGIRI,Shoolagiri,PUMS NALLAGANAKOTHAPALLI,"P.U.M.School,  Nallaganathapalli, Koneripalli (PO) SHOOLAGIRI, KRISHNAGIRI Dist. 635117",635117
8761,KRISHNAGIRI,Shoolagiri,PUMS NALLARALAPALLI,NallaralapalliShoolagiri,635117
8762,KRISHNAGIRI,Shoolagiri,PUMS NARASEEPURAM -TEL,NaraseepuramAthimugam [p.o] Naraseepuram,635105
8763,KRISHNAGIRI,Shoolagiri,PUMS PALAVATHIMMANAPALLI,PUMS PALAVATHIMMANAPALLI VILLSHOOLAGIRI BLOCK,635117
8764,KRISHNAGIRI,Shoolagiri,PUMS PANNAPALLI -TEL,"Pannappalli-Village, Muduguriki-PostShoolagiri-Taluk",635105
8765,KRISHNAGIRI,Shoolagiri,PUMS PEDDASIGARALAPALLI-URUDU,MUSLIM STREET\PEDDASIGARALAPALLI,635117
8766,KRISHNAGIRI,Shoolagiri,PUMS PULIYARASI,"PUMS,Puliyarasi,shoolagiri,",635117
8767,KRISHNAGIRI,Shoolagiri,PUMS PUNNAGARAM -TEL,PUNNAGARAM\DORIPALLI PO,635130
8768,KRISHNAGIRI,Shoolagiri,PUMS SAMANAPALLI -TAM-TEL,"SAMANAPALLI,SAMANAPALLI(PO)SHOOLAGIRI(TK),KRI SHNAGIRI(DT).",635117
8769,KRISHNAGIRI,Shoolagiri,PUMS SHOOLAGIRI URUDU,MUSLIM STREETear PH,635117
8770,KRISHNAGIRI,Shoolagiri,PUMS THIYAGARASANAPALLI,Enusonai post SHOOLAGIRI TK,635117
8771,KRISHNAGIRI,Shoolagiri,PUMS VEMPALLI,"PUMS VEMPALLI,CHENNAPALLI (PO), SHOOLAGIRI BLOCK, KRISHNAGIRI(Dt)",635117
8772,KRISHNAGIRI,Shoolagiri,RAJAJI MEMORIAL GHS PERANDAPALLI -TEL,PERANDAPALLI,635109
